"","Neighborhood","FIPS","Adjusted.case_rate","Adjusted.death_rate","Adjusted.testing_rate","mean.Socioeconomic","mean.HouseholdComposition.and.Disability","mean.Minority.Status.and.Language","mean.Housing.Type.and.Transportation","Diabetes_Percent","Population","Latin","White","Black","Native.American","Asian","Other.population","Longitude","Latitude","Area","Risk"
"15","Cheviot Hills",6037269000,253,5,8442,0.028,0.383,0.114,0.293,6.4,9023,0.078,0.78,0.025,0.002,0.102,0.009,-118.4043575,34.043327,1.737296451058,1
"16","Chinatown",6037197700,332,10,5264,0.824,0.428,0.808,0.756,12.1,17616,0.305,0.126,0.177,0.001,0.382,0.003,-118.2444855,34.068935,0.88192839687,2
"17","Del Rey",6037275101,260,7,6329,0.439,0.32,0.479,0.517,6.607,27614,0.417,0.376,0.049,0,0.137,0.001,-118.4045585,33.99916,2.289247792954,1
"18","Del Rey",6037275101,425,0,20116,0.439,0.32,0.479,0.517,6.607,27614,0.417,0.376,0.049,0,0.137,0.001,-118.4045585,33.99916,2.289247792954,1
"19","Downtown",6037206031,555,4,10377,0.577,0.194,0.641,0.828,8.933,42102,0.24,0.252,0.21,0,0.276,0.001,-118.23121,34.0344105,5.248109195692,1
"20","Eagle Rock",6037181000,444,27,7167,0.454,0.469,0.553,0.578,9.8,31610,0.379,0.306,0.023,0.001,0.276,0.002,-118.204552,34.1439045,4.144330450642,3
"21","East Hollywood",6037190520,748,109,5959,0.759,0.317,0.797,0.897,10.75,67393,0.581,0.194,0.028,0,0.184,0,-118.303805,34.0999325,2.40789037382,3
"22","Echo Park",6037195600,327,9,7411,0.58,0.224,0.674,0.7,8.969,34252,0.591,0.221,0.027,0,0.149,0.002,-118.266765,34.0810905,2.279638100276,2
"23","El Sereno",6037201110,473,30,6367,0.782,0.662,0.851,0.561,13.7,39582,0.814,0.046,0.02,0,0.113,0,-118.1746015,34.095485,4.040578279508,3
"24","Elysian Park",6037206010,254,0,5667,0.836,0.883,0.817,0.918,8.933,3291,0.497,0.053,0.033,0.002,0.406,0.01,-118.2318745,34.0702965,1.998364723786,1
"25","Elysian Valley",6037187102,569,0,6581,0.657,0.527,0.817,0.526,8.933,10143,0.63,0.091,0.01,0,0.257,0.003,-118.2437135,34.100216,1.396366454548,1
