"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"314","Unincorporated - Bradbury",0,0,0,0,0,0,9,8333,117,108
"315","Unincorporated - Cerritos",0,0,0,0,0,0,22,3748,3655,587
"316","Unincorporated - Claremont",0,0,0,0,0,0,29,4131,5347,702
"317","Unincorporated - East Covina",0,0,0,0,0,0,14,4255,5495,329
"318","Unincorporated - East Lancaster",0,0,0,0,0,0,3,2632,895,114
"319","Unincorporated - El Monte",0,0,0,0,0,0,5,3448,3568,145
"320","Unincorporated - Harbor Gateway",0,0,0,0,0,0,2,2e+05,9407,1
"321","Unincorporated - La Habra Heights",0,0,0,0,0,0,7,1036,1374,676
"322","Unincorporated - Palos Verdes Peninsula",0,0,0,0,0,0,32,5153,6612,621
"323","Unincorporated - Placerita Canyon",0,0,0,0,0,0,6,1304,1766,460
"324","Unincorporated - Roosevelt",0,0,0,0,0,0,12,1289,1443,931
"325","Unincorporated - Rosewood/East Gardena",0,0,0,0,0,0,73,6119,6141,1193
"326","Unincorporated - Sand Canyon",0,0,0,0,0,0,16,5195,11484,308
"327","Unincorporated - Saugus/Canyon Country",0,0,0,0,0,0,25,7022,7820,356
"328","Unincorporated - Southeast Antelope Valley",0,0,0,0,0,0,22,2817,2560,781
"329","Unincorporated - Westfield/Academy Hills",0,0,0,0,0,0,53,4077,3518,1300
"330","Unincorporated - Westhills",0,0,0,0,0,0,58,6913,8400,839
"331","Unincorporated - Whittier Narrows",0,0,0,0,0,0,2,16667,7860,12
